"","P_type","P_accuracy","P_performance","P_numtrials","P_rtvar","T_type","T_lower_rt","T_upper_rt","T_lower_pct","T_upper_pct","T_z","S_type","S_accuracy","S_lower_acc_trim","S_sample_size","mean_priming_z","sd_priming_z","n_targets","number_parts","total_rows","number_exclude"
"102","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy","25%",NA,NA,0.148242319259279,0.172301541197114,999,2627,409134,72533
"103","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy","50%",NA,NA,0.148761093543477,0.172264302109039,996,2627,409134,73446
"104","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,30,0.148242319259279,0.172301541197114,999,2627,409134,72533
"105","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","25%",NA,50,0.148242319259279,0.172301541197114,999,2627,409134,72533
"106","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","50%",NA,30,0.148761093543477,0.172264302109039,996,2627,409134,73446
"107","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"accuracy+sample","50%",NA,50,0.148761093543477,0.172264302109039,996,2627,409134,73446
"108","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy",NA,"10%",NA,0.147626363291879,0.170833780031769,960,2627,409134,85160
"109","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy",NA,"5%",NA,0.148968655162346,0.171835500022442,977,2627,409134,79513
"110","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"10%",30,0.147626363291879,0.170833780031769,960,2627,409134,85160
"111","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"10%",50,0.147626363291879,0.170833780031769,960,2627,409134,85160
"112","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"5%",30,0.148968655162346,0.171835500022442,977,2627,409134,79513
"113","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"lower_bound_accuracy+sample",NA,"5%",50,0.148968655162346,0.171835500022442,977,2627,409134,79513
"114","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","10%",NA,"none",NA,NA,NA,0.148144728829668,0.172242931501455,1000,2627,409134,72209
"115","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy","25%",NA,NA,0.134066950508144,0.157216306793465,999,2627,409134,63266
"116","accuracy+numtrials","80%",NA,100,NA,"bounds_percent",NA,NA,"5%","5%",NA,"accuracy","50%",NA,NA,0.134481759782031,0.157201653837881,996,2627,409134,64279
